id_review,name,review,rate
350.0,dini yustesia,harga kualitas fungsi produk,5
351.0,Gita Ayu Andini,Mantap,5
352.0,Z***a,"harga murah , kualitas oke , fungsi normal , produk recommended",5
353.0,Gita Ayu Andini,Mantap,5
354.0,Z***a,"harga murah , kualitas oke , fungsi normal , produk recommended",5
355.0,lafrinaldi,Alhamdulillah... All the best,5
356.0,fahmy baharuddin jabbaar,harga kualitas fungsi produk,5
357.0,alfiana,harga kualitas fungsi produk,5
358.0,Yadi23,kualitas produk fungsi harga,5
359.0,Deri permana,"Barang cepat sampai,barang bagus",5
360.0,murlin,Udah ditrimah dgn baik,5
361.0,Yuniar,harga kualitas fungsi,5
362.0,Bene Mabes,Respon cepat barang sesuai trims,5
363.0,Rasent,"Barang bagus, semoga awet smw barangnya...",5
364.0,Ratih Ayu Pratiwi,mantap 2ampere. sip .murah. tp brkualitas,5
365.0,ardiyanto,Lumayan untuk harga yg relatif murah,5
366.0,curut langu,"Biar bintang yg berbicara, keren deh pokoknya",5
367.0,IQBAL 94,Harga murah tp.lumayan juga kualitetnya,5
368.0,Kanda Saputra,Kiriman cepat sampai barang normal,5
369.0,sigit hermawan,"Pengiriman cpt,Pokoknya mantap lah,",5
370.0,Kanda Saputra,Kiriman cepat sampai barang normal,5
371.0,Quick Buyer,Barang sudah saya terima sesuai pesanan..terima kasih..semoga banyak order..,5
372.0,S***O,"harga kualitas fungsi produk , sip barang murah fungsi normal semua, moga2 awet, cuma paking yg krg sip, g papa lah namanya juga harga murah sebanding",5
373.0,nurjaya,Ok,5
374.0,Saiful Ikram,"harga terjangkau, kualitas bagus dah ajib",5
375.0,C***n,Barang bagus banget,5
376.0,Ikbal Yantoro,harga kualitas fungsi produk berfungsi seperti adapter lainnya,5
377.0,D***u,harga kualitas fungsi produk,5
378.0,Mbenk,harga kualitas fungsi produk,5
379.0,n***n,harga kualitas fungsi produk,5
380.0,Yudha hartono,Ok sip...,5
381.0,Carla m,"harga kualitas fungsi produk semua baik, puas",5
382.0,J***p,"harga kualitas fungsi produk oke,,,pelayanan pelapak ramah pengiriman lion parcel cepat pengirim juga ramah,,good pengiriman dan recomended seller,,top",5
383.0,Teizo,harga/kualitas bagus,5
384.0,Muhamad Subron,Good job,5
